cabin,passenger_adults,passenger_children,passenger_infant,passenger_youngsters,time_to_flight,connections_flag,travel_duration,destination_cont,a_purchase
Economy,1,0,0,0,36,0,16,EU,0
Economy,1,0,0,1,101,1,12,EU,0
Business,1,0,0,0,14,0,2,EU,0
Economy,1,0,0,0,16,0,42,EU,0
Economy,2,0,0,0,216,0,9,EU,1
Economy,1,0,0,0,6,0,3,EU,0
Premium Economy,1,0,0,0,59,0,5,EU,1
Business,2,0,0,0,338,0,14,USA,0
Business,1,0,0,0,20,0,4,EU,0
Business,1,0,0,0,28,0,3,EU,0
Economy,2,0,0,0,124,0,18,USA,0
Business,2,0,0,0,155,1,10,EU,0
Business,2,0,0,0,31,0,8,AF,0
Economy,1,0,0,0,6,0,2,AS,0
Economy,1,0,0,1,69,1,17,EU,0
Economy,2,0,0,0,54,0,6,USA,0
Economy,1,0,0,0,125,0,23,EU,0
Economy,1,0,0,0,29,0,3,EU,0
Economy,1,0,0,0,12,0,7,USA,1
Business,1,0,0,0,52,0,4,EU,0
Economy,1,0,0,0,42,0,8,EU,0
Economy,2,0,0,0,131,0,8,AS,0
Economy,2,0,0,0,5,1,8,EU,1
First,1,0,0,0,27,0,7,AS,0
Economy,1,0,0,0,7,0,3,EU,0
Economy,1,0,0,0,10,0,52,EU,0
Business,2,1,0,0,20,1,10,EU,1
Economy,1,0,0,0,21,0,44,EU,0
Economy,1,0,0,0,44,1,7,EU,0
Economy,1,0,0,0,1,1,6,USA,1
Premium Economy,2,1,0,1,59,0,21,EU,0
Economy,2,0,0,0,158,0,7,USA,1
Premium Economy,1,0,0,0,45,0,7,EU,0
Business,1,0,0,0,56,0,3,EU,0
Economy,1,0,0,0,35,0,3,EU,0
Premium Economy,1,0,0,0,104,0,23,AF,0
Economy,3,0,0,0,187,0,3,EU,0
Economy,3,1,0,0,105,0,8,EU,1
Economy,1,0,0,0,79,0,11,EU,0
Business,1,0,0,0,14,0,4,AS,0
Premium Economy,1,0,0,0,62,0,14,SA,0
Economy,1,0,0,0,9,0,9,EU,0
Economy,1,0,0,0,12,0,4,EU,0
Economy,1,0,0,0,34,0,3,EU,0
Economy,1,0,0,0,17,0,6,EU,0
Economy,1,2,0,0,98,0,31,EU,0
Economy,4,0,0,0,37,0,5,AS,0
Economy,1,0,0,0,6,1,11,EU,0
Economy,1,0,0,0,13,1,5,USA,0
Economy,2,0,0,0,85,0,7,EU,0
Business,2,0,0,0,138,1,22,EU,0
Economy,2,0,0,0,77,0,6,EU,0
Economy,1,0,0,0,113,1,15,EU,0
Economy,1,0,0,1,182,1,10,EU,0
Economy,2,2,0,0,163,0,4,EU,0
Premium Economy,1,0,0,0,11,0,23,AS,0
Economy,1,0,0,0,60,0,11,EU,0
Economy,1,0,0,0,18,0,4,EU,0
Business,2,0,0,0,78,0,9,EU,0
Economy,1,0,0,0,19,1,9,USA,0
Economy,2,0,0,0,190,0,5,EU,0
Economy,1,0,0,0,26,0,6,EU,0
Economy,2,0,0,0,62,0,9,USA,1
Economy,2,0,0,0,167,0,22,EU,0
Business,1,0,0,0,48,1,49,EU,0
Economy,1,0,0,0,3,0,10,EU,0
Economy,2,0,0,0,190,0,3,EU,0
Economy,1,0,0,0,21,0,6,EU,0
Economy,1,0,0,0,33,0,12,EU,0
Economy,1,0,0,0,141,1,16,USA,0
Economy,1,0,0,0,72,1,20,EU,0
Economy,2,0,0,0,8,0,8,EU,0
Economy,2,0,0,0,159,0,6,EU,0
Economy,1,0,0,0,16,0,6,EU,0
Premium Economy,3,0,0,1,60,0,45,USA,0
Economy,1,0,0,0,289,0,16,EU,0
Economy,2,0,0,0,32,0,7,AF,1
Business,2,0,0,0,163,0,7,EU,0
Business,1,0,0,0,17,0,4,EU,0
Economy,1,0,0,0,40,0,7,EU,0
Economy,2,0,0,0,74,0,5,EU,0
Economy,1,0,0,0,106,0,21,USA,0
Premium Economy,2,0,0,0,130,1,30,EU,0
Premium Economy,1,0,0,0,31,0,6,AS,0
Economy,1,0,0,0,19,1,2,USA,0
Economy,2,0,0,0,43,0,18,EU,0
Economy,2,0,0,0,14,0,3,AS,0
Economy,2,0,0,1,96,1,13,EU,0
Economy,1,0,0,0,130,1,13,USA,0
Economy,1,0,0,0,23,0,2,EU,0
Economy,3,0,0,0,287,1,12,USA,0
Economy,2,0,0,0,97,0,7,EU,0
Business,1,3,0,0,93,0,50,AS,0
Economy,1,0,0,0,98,1,40,EU,0
Economy,1,0,0,0,57,0,3,EU,0
Premium Economy,1,0,0,0,64,0,9,AS,0
Economy,1,0,0,0,76,1,6,EU,0
Economy,1,0,0,0,111,1,16,EU,0
Business,1,0,0,0,41,1,7,AF,0
Economy,1,0,0,0,63,0,26,AF,0
Economy,1,0,0,0,29,0,8,EU,0
Economy,2,0,0,0,58,0,5,EU,0
Economy,2,0,0,0,127,0,24,EU,0
Economy,2,0,0,0,19,0,5,EU,1
Economy,2,0,0,0,123,1,6,EU,0
Economy,2,3,0,0,24,0,5,EU,1
Economy,1,1,0,1,51,1,60,EU,0
Economy,2,2,0,0,93,1,9,EU,0
Economy,1,0,0,0,100,1,22,EU,0
Economy,2,0,0,0,12,0,12,EU,1
Economy,1,0,0,0,9,1,10,USA,0
Economy,2,0,0,0,20,1,12,AS,0
Economy,1,0,0,0,3,0,8,EU,0
Economy,1,0,0,0,53,0,5,EU,0
Business,2,0,0,0,5,0,3,EU,0
Premium Economy,2,0,0,0,165,0,11,USA,0
Business,1,0,0,0,42,0,9,USA,0
Premium Economy,2,0,0,0,69,0,5,EU,1
Economy,1,0,0,0,12,0,2,EU,0
Economy,1,0,0,0,156,0,9,AS,0
Economy,1,0,0,0,57,1,147,EU,0
Premium Economy,1,0,0,0,3,0,153,EU,0
Economy,2,0,0,0,68,0,8,SA,0
Economy,1,0,0,0,16,0,3,EU,0
Economy,1,0,0,0,28,0,8,EU,0
Economy,2,0,0,0,80,0,4,EU,0
Economy,1,0,0,0,90,1,5,EU,0
Economy,1,0,0,0,64,0,19,USA,0
Economy,1,0,0,0,116,1,24,EU,0
Economy,1,0,0,0,108,1,22,USA,0
Economy,1,0,0,0,62,0,6,EU,0
Premium Economy,3,2,0,1,235,1,19,EU,0
Economy,3,0,0,0,113,0,7,EU,0
Economy,1,2,1,0,80,0,21,EU,0
Economy,2,0,0,0,93,0,21,EU,0
Economy,2,0,0,0,205,0,4,USA,0
Economy,1,0,0,0,75,1,20,USA,0
Business,1,0,0,0,180,1,18,EU,0
Economy,2,2,0,0,5,0,2,EU,0
Economy,1,0,0,0,51,0,4,EU,0
Economy,1,0,0,0,25,0,3,EU,0
Economy,2,0,0,0,12,0,5,EU,0
Economy,1,0,0,0,39,0,5,EU,0
Economy,1,0,0,0,3,0,19,USA,0
Economy,2,0,0,0,33,1,11,EU,0
Economy,1,0,0,0,58,1,19,EU,0
Premium Economy,2,0,0,0,17,0,10,AF,1
Business,1,0,0,0,16,0,5,EU,0
Economy,2,1,0,1,204,0,5,EU,0
Business,2,0,0,0,16,1,42,EU,0
Economy,2,0,0,0,119,1,6,EU,1
Premium Economy,1,0,0,0,129,1,106,AS,0
Economy,2,0,0,0,196,0,21,USA,0
Economy,2,0,0,0,34,0,4,EU,0
Economy,1,1,0,0,18,0,2,EU,0
Economy,1,0,0,0,12,0,9,EU,0
Premium Economy,1,0,0,0,57,1,12,EU,0
Economy,2,1,0,0,177,1,9,USA,1
Economy,4,0,0,0,144,0,4,EU,1
Economy,1,0,0,0,145,0,4,EU,0
Business,1,0,0,0,46,0,14,EU,0
Economy,1,0,0,0,138,1,27,AF,0
Economy,2,0,0,0,73,0,63,AS,0
Business,1,0,0,0,236,1,10,EU,0
Economy,1,0,0,0,130,0,5,EU,0
Economy,1,0,0,0,8,0,2,EU,0
Economy,2,0,0,0,76,0,10,EU,0
Economy,1,2,0,0,122,0,15,EU,0
Economy,2,1,0,0,8,0,4,EU,0
Economy,1,0,1,0,30,0,5,EU,0
Economy,1,0,0,0,33,0,13,USA,0
Economy,1,0,0,0,50,0,14,AF,0
Premium Economy,1,0,0,0,192,1,58,EU,0
Economy,2,0,0,0,30,0,19,AF,0
Economy,1,0,0,0,92,0,8,EU,0
Economy,2,0,0,0,265,0,9,EU,0
Economy,1,0,0,0,223,0,5,EU,0
Economy,1,0,0,0,224,0,31,AF,0
Economy,1,0,0,0,22,1,3,EU,0
Economy,1,0,0,0,125,1,32,AS,0
Economy,2,0,0,0,178,0,8,EU,1
Economy,1,0,0,0,7,0,4,EU,0
Economy,1,0,0,0,47,1,14,EU,0
Economy,1,0,0,0,176,0,4,EU,0
Economy,3,1,0,0,216,0,15,USA,0
Economy,1,0,0,0,28,0,11,AS,0
Economy,2,2,0,0,123,0,12,EU,1
Business,1,0,0,0,45,0,4,EU,0
Business,2,0,0,0,336,0,5,AS,1
Economy,2,0,0,0,53,0,4,EU,1
Economy,2,0,0,0,98,0,18,EU,0
Economy,2,0,0,0,143,0,5,EU,1
Economy,1,0,0,0,77,1,5,EU,1
Economy,2,0,0,0,38,0,13,EU,0
Economy,3,0,0,0,97,0,8,EU,0
Economy,1,0,0,0,58,0,4,EU,0
Business,1,0,0,0,47,0,4,USA,0
Economy,2,0,0,0,214,1,6,EU,0
Business,1,0,0,0,3,0,6,EU,0
Economy,1,0,0,0,29,0,4,EU,0
Business,1,0,0,0,108,1,28,OC,0
Business,1,0,0,0,75,1,8,EU,0
Economy,1,0,0,0,98,0,18,EU,0
Economy,1,0,0,0,35,0,12,EU,0
Economy,1,2,0,0,8,0,3,EU,1
Business,1,0,0,0,47,1,6,EU,0
Economy,2,0,0,0,36,0,2,EU,0
Economy,4,0,0,0,348,0,8,EU,0
Economy,1,0,0,0,5,0,3,USA,0
Economy,2,1,0,0,15,1,9,AS,1
Economy,1,0,0,0,16,0,7,EU,0
Economy,1,0,0,0,4,0,2,EU,0
Business,1,0,0,0,146,0,9,AS,0
Economy,2,0,0,0,26,0,32,USA,0
Economy,1,0,0,0,34,0,8,AF,0
Economy,1,0,0,0,55,1,14,AS,0
Economy,2,0,0,0,106,1,14,EU,0
Economy,1,0,0,0,62,0,12,EU,0
Economy,1,0,0,0,14,0,2,EU,0
Economy,2,2,0,0,38,0,10,USA,1
Economy,1,0,0,0,44,0,4,EU,0
Economy,1,0,0,0,65,1,8,USA,0
Economy,1,0,0,0,20,0,6,EU,0
Economy,2,1,0,0,157,1,7,EU,1
Economy,1,0,0,0,160,1,8,USA,0
Business,2,0,0,0,22,0,5,EU,0
Economy,2,0,0,0,41,0,8,EU,0
Economy,1,0,0,0,12,0,5,EU,0
Economy,2,0,0,0,316,0,10,USA,0
Economy,3,0,0,0,67,0,3,EU,1
Economy,2,0,0,0,291,0,4,USA,0
Economy,4,0,0,0,170,1,8,USA,0
Economy,1,0,0,0,39,0,19,EU,0
Economy,2,0,0,0,204,1,9,EU,1
Business,1,0,0,0,26,0,6,EU,1
Economy,1,0,0,0,245,0,26,AS,0
Economy,1,0,0,0,24,0,8,USA,0
Economy,1,0,0,0,131,0,6,AS,0
Business,1,0,0,0,51,0,5,EU,0
Economy,3,0,0,0,192,0,9,USA,1
Premium Economy,1,0,0,0,2,1,3,EU,1
Premium Economy,2,0,0,0,219,0,12,USA,0
Business,2,0,1,0,242,1,16,AS,0
Business,2,0,0,0,118,0,18,EU,0
Economy,2,0,0,0,134,0,4,EU,0
Economy,3,0,0,0,58,0,3,EU,0
Business,1,0,0,0,135,0,8,EU,0
Economy,1,0,0,0,10,0,22,AF,0
Business,3,0,0,0,156,0,11,EU,0
Business,2,0,0,0,106,0,4,EU,0
Economy,2,0,0,0,157,0,10,EU,0
Economy,1,0,0,0,23,0,5,EU,0
Business,1,0,0,0,131,1,12,EU,0
Economy,1,2,0,0,140,0,13,EU,0
Economy,1,0,0,0,51,1,59,EU,0
Economy,2,0,0,0,204,0,8,EU,0
Business,2,0,0,0,188,0,8,EU,1
Economy,1,0,0,0,12,1,9,EU,0
Economy,2,0,0,0,173,0,15,EU,0
Economy,1,0,0,0,163,0,3,EU,0
Economy,3,0,0,0,32,0,10,EU,0
Economy,2,0,0,0,71,0,5,EU,0
Economy,1,0,0,0,58,1,66,EU,0
Economy,2,0,0,0,12,1,11,AS,0
Economy,2,0,0,0,7,0,12,EU,0
Economy,1,0,0,0,60,0,4,EU,0
Economy,1,0,0,0,235,1,21,EU,0
Economy,2,1,0,1,121,1,16,EU,0
Economy,1,0,0,0,2,0,5,EU,0
Economy,1,0,0,0,79,0,155,EU,0
Economy,1,0,0,0,11,0,9,EU,0
Economy,1,0,1,0,22,0,79,AS,0
Economy,2,0,0,0,20,0,7,EU,0
Business,2,0,0,0,134,0,15,EU,0
Economy,4,0,0,0,75,0,8,EU,1
Economy,1,0,0,0,12,0,3,EU,0
Economy,1,0,0,0,46,0,4,EU,0
Economy,1,0,0,0,210,0,31,AS,0
Economy,1,0,0,0,113,1,94,EU,0
Economy,1,0,0,0,62,1,31,EU,0
Economy,1,0,0,0,32,0,4,EU,0
Economy,2,1,0,0,178,1,10,EU,0
Economy,2,0,0,0,225,1,30,EU,0
Economy,1,0,0,0,109,0,6,EU,0
Economy,1,0,0,0,23,0,40,AS,0
Economy,1,0,0,0,43,1,23,USA,0
Economy,2,0,0,0,79,1,7,SA,0
Economy,2,0,0,0,108,0,14,AF,0
Economy,2,0,0,0,36,1,177,USA,0
Economy,1,0,0,0,21,0,2,EU,0
Business,1,0,0,0,66,1,5,EU,0
Business,1,0,0,0,8,0,2,EU,0
Premium Economy,3,0,0,1,107,0,5,USA,0
Economy,1,0,0,0,38,0,5,EU,0
Economy,2,0,0,0,180,0,7,USA,1
Economy,2,0,0,0,141,0,7,AS,0
Economy,2,0,0,0,112,0,9,EU,0
Economy,2,0,0,0,42,0,5,EU,0
Economy,1,0,0,0,46,0,83,USA,0
Economy,2,1,0,1,46,1,85,EU,0
First,2,0,0,0,342,0,14,USA,0
Economy,1,0,0,0,98,1,6,AS,0
Business,2,0,0,0,34,1,5,EU,0
Economy,1,0,0,0,84,0,22,EU,0
Economy,1,0,0,0,71,0,2,EU,0
Business,2,0,0,0,62,0,29,EU,0
Premium Economy,1,0,0,0,180,0,12,AS,0
Economy,2,0,0,0,47,0,29,AS,0
Economy,1,0,0,0,35,1,9,EU,0
Economy,2,0,0,0,20,0,4,EU,1
Economy,1,0,0,0,3,0,8,EU,0
Economy,2,0,0,0,239,0,8,AF,0
Economy,2,0,0,0,84,1,21,EU,0
Economy,1,0,0,0,23,0,2,AS,0
Business,2,0,0,0,108,0,5,EU,0
Economy,1,0,0,0,5,0,8,EU,0
Economy,2,3,0,0,243,1,16,AF,0
Economy,1,1,0,1,150,1,11,EU,0
Economy,1,0,0,0,27,0,8,EU,0
Economy,5,0,0,0,75,0,5,AS,0
Economy,1,0,0,0,42,1,6,EU,0
Economy,2,0,0,0,179,0,17,AS,0
Economy,3,0,0,0,189,0,18,AS,0
Economy,1,0,0,0,26,0,3,EU,0
Business,1,0,0,0,22,0,9,EU,0
Economy,2,0,0,0,153,1,9,USA,0
Economy,1,0,0,0,43,0,5,EU,0
Economy,2,0,0,0,16,1,5,EU,0
Economy,4,0,0,0,89,0,4,EU,0
Economy,1,0,0,0,31,1,31,EU,0
Economy,1,0,0,0,9,0,5,EU,0
Economy,2,0,0,0,125,1,16,EU,0
Economy,1,0,0,0,32,1,23,EU,0
Economy,1,0,0,0,9,0,13,USA,0
Economy,2,2,0,0,100,0,7,EU,0
Economy,1,0,0,0,27,1,40,USA,0
Economy,4,0,0,0,132,0,14,USA,0
Economy,1,0,0,0,265,0,23,AF,0
Economy,2,0,0,0,149,1,16,EU,1
Economy,1,0,0,0,55,1,29,AS,0
Economy,2,0,0,0,102,1,12,USA,0
Economy,1,0,0,0,9,0,8,AS,0
Economy,3,1,0,0,111,0,8,EU,0
Economy,2,0,0,0,157,0,11,EU,0
Economy,2,0,0,0,115,0,2,EU,1
Economy,1,0,0,0,6,0,4,EU,0
Economy,1,0,0,0,21,1,22,USA,0
Economy,1,0,0,0,85,0,16,AF,0
Business,1,0,0,0,35,1,8,EU,0
Economy,1,0,0,0,17,0,4,EU,0
Business,2,0,1,0,129,1,14,USA,0
Economy,2,0,0,0,46,0,4,EU,0
Economy,1,0,0,0,2,0,5,EU,0
Economy,2,0,0,0,53,1,8,EU,0
Economy,1,0,0,0,7,0,10,AF,0
Premium Economy,1,0,0,0,238,1,22,AF,0
Economy,1,0,0,0,49,0,2,EU,0
Economy,1,0,0,0,4,0,5,EU,0
Economy,2,0,0,1,70,1,22,EU,0
Economy,2,0,0,0,139,0,8,EU,1
Economy,2,0,0,0,154,0,28,EU,0
Economy,2,0,0,0,137,1,29,OC,0
Economy,1,0,0,0,129,1,5,EU,0
Economy,2,0,0,0,162,0,10,EU,0
Economy,1,0,0,0,171,0,14,USA,0
Economy,1,0,0,0,36,0,8,AS,0
Economy,2,2,0,0,313,0,12,USA,1
Business,1,0,0,0,115,0,10,EU,0
Economy,1,0,0,0,27,0,4,EU,0
Economy,2,0,0,0,134,0,5,EU,1
Business,1,0,0,0,4,0,7,EU,0
Premium Economy,2,0,0,0,176,0,14,EU,0
Economy,1,0,0,0,2,1,14,AS,0
Business,1,0,0,0,11,0,3,EU,0
Premium Economy,1,0,0,0,74,1,10,EU,0
Economy,1,0,0,0,69,0,3,EU,0
Economy,2,0,0,0,22,0,3,EU,0
Economy,1,0,0,0,48,1,35,EU,0
Economy,1,0,0,0,18,0,3,EU,0
Economy,2,0,0,0,51,0,7,EU,0
Economy,2,2,0,0,340,0,16,USA,0
Premium Economy,1,0,0,0,25,0,11,EU,0
Economy,4,0,0,0,2,0,4,EU,1
Economy,1,0,0,0,46,1,4,EU,0
Economy,1,0,0,0,16,0,11,SA,0
Economy,1,0,0,0,25,0,3,EU,0
Economy,2,0,0,0,37,0,10,AS,0
Economy,1,0,0,1,105,1,23,AF,0
Economy,2,1,1,0,7,0,18,AS,0
Premium Economy,2,0,0,0,258,1,18,EU,0
Economy,1,0,0,0,21,0,7,EU,0
Economy,1,0,0,0,3,1,8,USA,0
Economy,1,0,0,0,46,0,14,USA,0
Business,1,0,0,0,83,0,5,EU,1
Economy,4,0,0,0,119,0,23,EU,0
Economy,1,0,0,0,53,0,7,EU,0
Economy,2,0,0,0,162,1,15,EU,0
Economy,1,0,0,0,287,0,13,EU,0
Economy,2,0,0,0,91,1,9,OC,0
Economy,1,0,0,0,49,0,4,AF,0
Economy,2,0,0,0,58,1,6,USA,1
Economy,1,0,0,0,78,1,9,EU,0
Business,2,0,0,0,122,1,3,EU,0
Economy,1,0,0,0,26,0,19,AS,0
Economy,2,1,1,0,209,0,8,AF,0
Economy,3,2,0,0,45,0,10,USA,1
Economy,1,0,0,0,16,0,5,EU,0
Economy,2,0,0,0,52,0,4,EU,0
Economy,1,0,0,0,12,0,2,EU,0
Economy,1,0,0,0,52,0,22,EU,0
Premium Economy,4,0,0,0,164,0,13,EU,1
Economy,2,0,0,0,41,0,6,EU,0
Economy,1,0,0,0,83,0,4,EU,0
Economy,1,0,0,1,33,0,3,EU,0
Economy,1,0,0,0,6,0,3,EU,0
Economy,2,0,0,0,71,0,5,EU,0
Economy,1,0,0,0,24,0,3,EU,0
Business,2,0,0,0,92,0,12,EU,0
Economy,2,0,0,0,51,0,6,EU,0
Business,1,0,0,0,110,0,24,EU,0
Economy,2,0,0,0,204,1,13,EU,0
Premium Economy,1,0,0,0,26,0,7,EU,0
Business,1,0,0,0,15,0,5,EU,0
Economy,1,0,0,0,16,0,3,EU,0
Business,2,0,0,0,79,0,28,EU,0
Economy,1,0,0,0,58,1,6,USA,0
Economy,1,1,0,0,243,1,19,EU,0
Economy,1,0,0,0,18,0,20,EU,0
Economy,1,0,0,0,2,0,5,USA,0
Economy,1,0,0,0,32,0,12,AS,0
Economy,1,1,0,0,184,0,4,EU,0
Business,1,0,0,0,21,0,3,EU,0
Economy,2,0,0,0,21,1,20,EU,0
Economy,1,0,0,0,25,0,10,EU,0
Economy,2,0,0,0,100,0,10,EU,0
Economy,1,0,0,0,11,0,4,EU,0
Economy,2,0,0,1,264,0,17,OC,0
Business,1,0,0,0,66,0,12,EU,0
Economy,1,0,0,0,12,1,21,EU,0
Economy,2,0,1,0,21,0,11,EU,0
Economy,1,0,0,0,39,0,13,AF,0
Economy,1,0,0,0,2,1,19,EU,0
Economy,1,0,0,0,64,0,35,AS,0
Economy,1,1,0,1,40,1,31,EU,0
Economy,1,0,0,0,26,1,42,EU,0
Economy,4,0,0,0,345,1,9,EU,1
Economy,2,0,0,0,47,1,37,EU,0
Economy,3,0,0,0,81,0,4,EU,0
Economy,1,0,0,0,58,0,4,EU,0
Economy,5,0,0,3,343,0,10,EU,0
Economy,2,0,0,0,98,0,6,USA,1
Economy,1,0,0,0,34,0,22,AF,0
Economy,1,0,0,0,53,0,5,EU,0
Premium Economy,2,0,0,0,56,0,22,EU,0
Business,2,0,0,0,13,0,3,EU,1
Business,2,0,0,0,210,0,15,USA,0
Economy,4,0,0,0,19,0,3,EU,1
Business,1,0,0,0,36,1,153,USA,0
Economy,2,0,0,0,158,0,4,EU,1
Premium Economy,2,0,0,0,197,0,8,AF,1
Business,2,0,0,0,117,0,44,EU,0
Premium Economy,1,0,0,0,34,0,4,USA,0
Economy,2,0,0,0,151,0,3,EU,1
Economy,1,0,0,0,7,1,9,USA,0
Economy,1,0,0,0,40,0,13,EU,0
Business,1,0,0,0,15,1,8,EU,0
Economy,1,0,0,0,102,1,6,USA,0
Economy,2,0,0,0,26,0,4,EU,0
Economy,1,0,0,0,57,0,13,EU,0
Economy,1,0,0,0,211,0,8,USA,0
Business,2,1,0,0,166,0,8,AF,1
Economy,4,0,0,0,48,0,5,EU,0
Economy,1,0,0,0,201,1,15,AS,0
Premium Economy,1,0,0,0,12,1,7,EU,0
Economy,1,0,0,0,9,0,3,EU,0
Economy,3,0,1,0,91,1,8,AS,1
Economy,1,0,0,0,11,1,12,EU,0
Economy,1,0,0,0,119,0,26,USA,0
Business,1,0,0,0,6,0,2,EU,1
Economy,1,0,0,0,30,0,12,EU,0
Economy,1,0,0,0,32,1,30,USA,0
Economy,2,1,1,0,70,1,6,EU,0
Economy,1,0,0,0,37,0,13,EU,0
Economy,3,0,1,0,28,0,15,EU,0
Economy,1,0,0,0,5,0,22,AF,0
Economy,3,0,0,0,235,0,8,USA,0
Premium Economy,1,0,0,0,32,1,13,EU,0
Economy,1,0,0,0,65,1,25,AF,0
Economy,1,0,0,0,50,1,50,AS,0
Economy,3,0,0,0,85,0,11,EU,0
Economy,2,0,0,0,203,0,13,AS,1
Economy,1,0,0,0,3,0,3,EU,0
Business,2,0,0,0,184,1,14,EU,0
Economy,1,0,0,0,81,0,4,EU,0
Economy,2,2,0,0,131,0,9,AS,1
Economy,2,1,0,0,334,0,20,AF,0
Business,2,0,0,0,153,0,8,EU,0
Economy,1,0,0,0,107,0,37,EU,0
Economy,1,0,0,0,38,0,45,AS,0
Economy,1,0,0,0,291,1,29,SA,0
Economy,1,0,0,0,61,0,5,EU,0
Economy,1,0,0,0,29,0,8,USA,0
Business,2,0,0,0,52,0,2,EU,0
Economy,1,0,0,0,49,0,4,EU,0
Economy,1,0,0,0,28,1,5,EU,0
Economy,2,0,0,0,107,0,4,AS,0
Premium Economy,2,0,0,0,118,1,11,USA,0
